,name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
480,Southeast Missouri State University,Missouri,MO,Public,4 Year,8935.0,7418,16353,13155,22090,20,Missouri,43700,79100,52.0,9
481,Southeastern Louisiana University,Louisiana,LA,Public,4 Year,8420.0,8165,16585,20643,29063,15,Louisiana,46700,83900,51.0,8
482,Southeastern Oklahoma State University,Oklahoma,OK,Public,4 Year,6970.0,6750,13720,15390,22360,14,Oklahoma,45000,80500,53.0,15
483,Southern Adventist University,Tennessee,TN,Private,4 Year,6940.0,21950,28890,21950,28890,10,Tennessee,47500,84000,67.0,9
484,Southern Connecticut State University,Connecticut,CT,Public,4 Year,12860.0,10875,23735,22115,34975,20,Connecticut,48500,83600,51.0,6
485,Southern Methodist University,Texas,TX,Private,4 Year,16845.0,54493,71338,54493,71338,5,Texas,59700,110400,46.0,22
486,Southern Nazarene University,Oklahoma,OK,Private,4 Year,8496.0,25188,33684,25188,33684,13,Oklahoma,46100,81000,62.0,5
487,Southern New Hampshire University,New Hampshire,NH,Private,4 Year,13120.0,31136,44256,31136,44256,11,New-Hampshire,47400,83400,49.0,8
488,Southern Oregon University,Oregon,OR,Public,4 Year,13199.0,9654,22853,25584,38783,16,Oregon,46000,81200,54.0,6
489,Southern University at New Orleans,Louisiana,LA,Public,4 Year,9040.0,9371,18411,11160,20200,22,Louisiana,40100,71000,76.0,13
490,Southern Utah University,Utah,UT,Public,4 Year,7090.0,6769,13859,20585,27675,8,Utah,46400,84400,65.0,7
491,Southern Vermont College,Vermont,VT,Private,4 Year,11000.0,25511,36511,25511,36511,9,Vermont,42900,78700,63.0,17
492,Southern Wesleyan University,South Carolina,SC,Private,4 Year,9030.0,25476,34506,25476,34506,20,South-Carolina,42900,74600,52.0,5
493,Southwestern Oklahoma State University,Oklahoma,OK,Public,4 Year,5830.0,7035,12865,13935,19765,6,Oklahoma,47900,90800,58.0,5
494,Southwestern University,Texas,TX,Private,4 Year,12000.0,42000,54000,42000,54000,25,Texas,51800,93500,51.0,19
495,Spalding University,Kentucky,KY,Private,4 Year,7600.0,24500,32100,24500,32100,13,Kentucky,44800,79200,71.0,0
496,Spelman College,Georgia,GA,Private,4 Year,13865.0,29314,43179,29314,43179,10,Georgia,50200,85400,52.0,24
497,Spring Hill College,Alabama,AL,Private,4 Year,13462.0,39464,52926,39464,52926,6,Alabama,46600,89100,53.0,12
501,St. Mary's University,Texas,TX,Private,4 Year,10270.0,30650,40920,30650,40920,22,Texas,52900,95300,61.0,17
502,Stanford University,California,CA,Private,4 Year,15763.0,51354,67117,51354,67117,4,California,79000,145200,56.0,51
503,Stephens College,Missouri,MO,Private,4 Year,10632.0,30950,41582,30950,41582,24,Missouri,42800,77200,47.0,6
504,Sterling College,Vermont,VT,Private,4 Year,9900.0,38800,48700,38800,48700,17,Kansas,42700,79100,73.0,7
505,Sterling College,Kansas,KS,Private,4 Year,8280.0,26000,34280,26000,34280,17,Kansas,42700,79100,73.0,7
506,Stetson University,Florida,FL,Private,4 Year,13052.0,46030,59082,46030,59082,21,Florida,47000,86000,44.0,7
507,Stevens Institute of Technology,New Jersey,NJ,Private,4 Year,15244.0,52202,67446,52202,67446,1,New-Jersey,75100,139900,47.0,79
508,Stevenson University,Maryland,MD,Private,4 Year,13130.0,36182,49312,36182,49312,15,Maryland,50400,91600,51.0,15
509,Stockton University,New Jersey,NJ,Public,4 Year,12282.0,13739,26021,20866,33148,25,New-Jersey,47400,85800,49.0,16
510,Stonehill College,Massachusetts,MA,Private,4 Year,16000.0,42746,58746,42746,58746,19,Massachusetts,55900,103200,42.0,18
512,SUNY Maritime College,New York,NY,Public,4 Year,12522.0,8283,20805,18063,30585,4,New-York,74900,140700,53.0,32
513,Swarthmore College,Pennsylvania,PA,Private,4 Year,15474.0,52588,68062,52588,68062,4,Pennsylvania,67500,123200,44.0,45
514,Tabor College,Kansas,KS,Private,4 Year,9850.0,28245,38095,28245,38095,20,Kansas,43300,77500,62.0,7
515,Taylor University,Indiana,IN,Private,4 Year,9614.0,34114,43728,34114,43728,10,Indiana,48700,90600,59.0,16
516,Tennessee State University,Tennessee,TN,Public,4 Year,7806.0,8008,15814,21364,29170,19,Tennessee,47200,78400,68.0,14
517,Tennessee Technological University,Tennessee,TN,Public,4 Year,9736.0,9103,18839,25759,35495,6,Tennessee,53100,95100,48.0,28
